Nombre,Equipo,Posición,Liga,Fin de contrato,Lado,Pie bueno,Edad,Valor (€),Altura,GBE,Partidos,Minutos,Tarjetas Amarillas,Tarjetas Rojas,Distancia Media de Pases,Pases de la Muerte,Pases en Profundidad,% Pases Largos,Pases Largos Recibidos,Pases Largos Completados,% Pases al Área en Jugada,Pases,% Pases Último ⅓,% Pases hacia delante,% Pases en Juego en el Área Rival en su Equipo,Pases a Campo Contrario,Pases Recibidos Último ⅓,Pases Completados,% Contribución de Pase,Pases al Último ⅓ Completados,% Pases al Último ⅓,% Pases en Campo Contrario,% Pases en Campo Propio,% Pases,% Pases Adelante Completados,Pases Progresivos Completados,% Pases Progresivos,Pases Cortos Completados,% Paradas Atrapadas,Precisión en Centros (Interceptar),% Pases con la Mano,% Paradas Dentro del Área,% Paradas Fuera del Área,% Paradas,Remates por Gol,xG Recibido,Goles Evitados,xG Recibidos por Gol,xG Parados / xG Recibidos,Presión tras pérdida,Centros Interceptados,Remates Interceptados,Amplitud,Despejes,Acciones Defensivas,Distancia Defensiva,% Duelos Defensivos Ganados,Diferencia Distancia Defensiva con el Equipo,Duelos Defensivos,Duelos Perdidos,% Duelos Exitosos,Duelos,Faltas,% Faltas en Campo Propio,% Acciones Defensivas Altas,Presión Individual,Presión Individual Campo Rival,Intercepciones,Recuperaciones Rápidas,% Recuperaciones Rápidas,Recuperaciones,Recuperaciones en Campo Contrario,Tackles Intentados,Tackles con Éxito,Tackles/Fue Regateado,Tackles/Fue Regateado Último ⅓,Tackles/Fue Regateado ⅓,% Duelos por Bajo,Tackles/Fue Regateado ⅔,Distancia Media Remates,Finalización,Finalizacion xG a Puerta,Goles,Goles Fuera del Área,Remate de Cabeza por Centro,Remate de Cabeza por Tiro,Remates de Cabeza,Goles sin Penaltis,Fueras de Juego,% Remates a Puerta,% Remates a Puerta Fuera del Área,Remates,Tiros a puerta,Remates Fuera del Área,Remates por Goles sin Penaltis,xG,Construcción en su Equipo,Eficiencia xG,xG a Puerta,% xG en Juego en su Equipo,xG por Goles sin Penaltis,xG por Remate,Pérdidas,Pérdidas en Campo Propio,% Retención del Balón,% Retención del Balón en Campo Rival,Regates Intentados,Regates Intentados Último ⅓,% Regates Completados Último ⅓,Regates Intentados Campo Contrario,% Regates Completados Campo Contrario,Regates Intentados Campo Propio,% Regates Completados Campo Propio,Regates Completados Último ⅓,Regates Completados Campo Contrario,Regates Completados Campo Propio,Faltas Recibidas,Regates Completados,% Regates Completados,Toques,Toques en Área Rival,% Toques de Balón en el Área Rival en su Equipo,Asistencias,Progresión de Balón,Progresión de Balón con Conducción,Prog. de Balón Último ⅓,% Progr Balón Campo Rival en su Equipo,Progresión de Balón con Pase,Ocasiones Creadas,Ocasiones Creadas en Jugada,Entradas al Área,Pases Clave en Juego,Pases Completados al Área en Juego,Pases por cada Balón Largo,Pases Progresivos Recibidos,Pases Progresivos Recibidos Último ⅓,Pases Progresivos Recibidos en el Área,Pases Progresivos Recibidos en Campo Rival,Contribución Goleadora,Pases entre Líneas,Toques por Remate,xA de Centros,xA,xA en Jugada,xA en Jugada en su Equipo,xA a Balón Parado,Construcción xG,Construcción xG 5 pases,Construcción xG Último ⅓,Participación xG,Participación xG Último ⅓,Peligro Esperado (xT),xT Regates,xT en Juego,xT en Juego en su Equipo,xT Pases,xT Pases por 100 Pases,Duelos Aéreos Defensivos,% Duelos Aéreos Defensivos Ganados,Eficiencia Aérea,Duelos Aéreos Ofensivos,% Duelos Aéreos Ofensivos,Duelos Aéreos,% Duelos Aéreos Ganados Área Rival,% Duelos Aéreos Ganados Área Propia,Duelos Aéreos Totales Campo Rival,Duelos Aéreos Ganados en AR,% Duelos Aéreos Ganados Campo Rival,Duelos Aéreos Ganados en AP,Duelos Aéreos Ganados,% Duelos Aéreos Ganados,Duelos Aéreos Defensivos Ganados,Duelos Aéreos Ofensivos Ganados,Centros Completados,Centros Completados en Jugada,Eficiencia de Centros,Centros,Centros al Área Pequeña,% Centros Completados,% Centros Completados en Jugada,Conducción y Asistencia,Progreso Medio de Conducciones,Distancia Media de Conducción,Conducciones,% Conducciones,Conducción y Ocasión,Profundidad,Profundidad en el Último ⅓,Conducción y Gol,Conducciones Progresivas,Conducción y Tiro,Pérdidas de Balón,Pérdidas Peligrosas y Gol,Pérdidas Peligrosas,Pérdidas Peligrosas y Tiro,Secuencia acabada en gol,Secuencia acabada en tiro,Puntuación,Recuperaciones en Campo Propio,Faltas en Campo Propio,Faltas en Campo Rival,Centros en Jugada,Pases al Área en Juego,Pases Adelante,Pases Adelante Completados,Duelos Defensivos Ganados,Pases al Último ⅓,Pases Progresivos,Pases Largos,% Pases Largos del total,Pases Clave (Total),Ocasiones Creadas (Total),Duelos Aéreos Área Propia,Duelos Aéreos Área Rival,Pérdidas en Campo Rival,Fecha Ejecución,Rating,rank,Año fin contrato
Lucas Stassin,Saint-Etienne,FW,FRA I 2024,Jun 28,Centre,right,"20,0","5 000,0","183,0","20,0","16,0","977,0","2,0","0,0","12,8","0,09","0,55","66,7","1,84","0,37","23,5","0,2906622333056248","0,48484848484848475","16,5","6,06","9,12","9,67","0,2307692307692307","-3,68","6,45","72,2","69,7","87,1","0,5071428571428571","51,4","1,38","9,91","7,55","0,0","0,12","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,46","0,0","0,0","2,76","0,08","3,13","62,0","25,0","26,2","2,95","5,53","0,013477088948787186","0,2421875","1,84","15,0","88,2","36,4","31,3","0,41","0,28","21,4","0,83","0,65","0,74","0,58","77,8","60,0","100,0","24,1","100,0","14,4","25,0","3,69","0,28","0,0","9,09","16,7","0,18","0,28","0,55","0,40712945590994376","66,7","0,2366666666666667","0,18131868131868134","0,28","4,0","0,18867924528301888","12,0","0,5625","0,08","37,1","0,59","0,4285714285714286","0,3372093023255814","0,31274131274131267","81,9","81,7","1,47","0,22193211488250653","0,375","1,2","46,2","0,28","33,3","0,23195876288659797","0,55","0,09","0,26538461538461544","0,65","43,8","29,1","0,25203252032520324","21,1","0,28","2,86","1,47","1,84","3,48","1,38","0,65","0,37","0,83","0,14516129032258066","0,37","40,0","10,7","5,99","0,33333333333333337","8,57","0,55","0,09","26,3","0,0","0,06","0,23529411764705882","20,7","0,02","0,22","0,05","0,17","0,34","0,31","0,09","0,03","0,09","7,37","0,07","0,34","0,28","33,3","0,48","3,13","20,6","3,41","50,0","0,0","0,28173374613003094","0,37","0,19399999999999998","0,0","0,74","21,6","0,09","0,65","0,09","0,09","1,47","1,38","0,0","6,67","6,67","0,18","13,2","19,3","2,58","50,0","0,37","6,26","16,3","0,09","1,2","0,55","0,18","0,0","0,09","0,0","0,65","2,76","42,0","0,18","0,28","1,56","1,35","1,57","3,22","1,65","0,74","8,93","13,93","0,55","2,84","2,0","4,0","0,0","0,74","4,7",2025-01-31,"3,2368594353804774","36,0","2 028,0"
George Ilenikhena,Monaco,FW,FRA I 2024,0,Left/Centre,left,"18,0","15 000,0","185,0","20,0","16,0","689,0","0,0","0,0","13,7","0,26","0,26","100,0","1,18","0,39","42,9","0,0","0,7796143250688706","18,8","4,54","4,57","5,88","0,0","10,8","3,79","74,4","74,5","86,4","0,6071428571428572","61,5","0,91","13,0","3,53","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,13","0,0","0,0","1,18","0,0","1,83","64,4","17,6","22,6","2,22","4,96","0,09433962264150941","0,203125","1,31","20,0","92,9","27,0","23,6","0,15","0,13","25,0","0,44","0,26","0,44","0,29","66,7","100,0","0,0","15,4","50,0","12,9","10,0","90,2","0,13","0,13","7,14","30,0","0,39","0,13","1,31","0,18761726078799257","50,0","0,30666666666666664","0,14285714285714285","0,26","10,0","0,20754716981132076","7,47","0,37500000000000006","0,2","17,3","1,33","0,33333333333333337","0,0","0,0","83,7","82,1","1,83","0,27676240208877284","0,25","1,57","41,7","0,26","100,0","0,21649484536082478","0,65","0,26","0,2961538461538462","0,91","50,0","17,0","0,3447154471544715","14,0","0,26","1,7","0,52","1,44","1,59","1,18","0,65","0,65","0,65","0,3145161290322581","0,39","18,0","4,96","3,13","0,10344827586206892","3,92","0,39","0,26","13,0","0,0","0,06","0,3529411764705882","11,4","0,0","0,19","0,06","0,14","0,33","0,28","0,06","0,02","0,06","3,72","0,04","0,47","0,52","25,0","1,09","3,27","32,0","3,79","42,9","0,0","0,25593395252837975","0,39","0,35000000000000003","0,0","1,18","31,0","0,13","1,04","0,0","0,0","0,39","0,39","0,0","0,0","0,0","0,13","8,79","12,9","2,09","56,2","0,39","5,36","11,5","0,13","0,52","0,26","0,0","0,0","0,13","0,0","0,39","2,48","36,0","0,18","0,26","1,05","0,0","0,91","1,69","1,04","0,39","5,09","7,0","0,39","4,33","3,0","5,0","0,0","0,91","2,61",2025-01-31,"3,2009822684419156","37,0",nan
Andre Ayew,Le Havre,FW,FRA I 2024,Jun 25,Left/Centre,left,"35,0","700,0","175,0","23,0","12,0","903,0","2,0","0,0","11,7","0,0","0,0","33,3","1,69","0,1","50,0","0,08007758381823218","0,07988980716253458","20,2","4,35","4,68","3,59","0,07300150829562599","-2,6","2,19","59,5","70,2","92,3","0,6607142857142856","54,2","0,7","10,9","5,58","0,0","0,16","100,0","0,0","100,0","100,0","1,0","0,0","0,0","0,0","0,0","0,5","0,1","0,1","3,19","0,44","3,39","48,5","51,7","13,7","2,89","5,28","0,21024258760107828","0,3671875","1,0","60,0","61,8","41,2","32,4","0,71","0,0","0,0","1,59","0,8","1,41","1,24","87,5","100,0","100,0","53,9","75,0","12,8","20,0","76,5","0,2","0,0","11,4","50,0","0,5","0,2","0,3","0,0","0,0","0,2033333333333333","0,038461538461538464","0,2","5,0","0,20754716981132076","13,1","0,4625","0,16","33,9","0,84","0,5238095238095238","0,010465116279069764","0,08108108108108106","84,2","82,0","0,8","0,06527415143603132","0,0","0,6","33,3","0,2","50,0","0,0","0,2","0,1","0,7615384615384618","0,3","37,5","21,8","0,06829268292682922","14,0","0,0","1,59","0,9","0,5","2,04","0,7","0,0","0,0","0,2","0,0","0,1","95,0","5,78","1,79","0,20689655172413787","4,09","0,2","0,0","21,9","0,0","0,0","0,0","0,0","0,0","0,2","0,07","0,1","0,34","0,24","0,01","0,0","0,01","1,15","0,01","0,08","0,3","33,3","1,96","5,18","34,6","5,48","45,5","0,0","0,4189886480908153","0,5","0,429","0,0","1,89","34,5","0,1","1,79","0,0","0,0","0,3","0,3","0,0","0,0","0,0","0,0","9,97","14,0","1,4","35,7","0,0","3,39","7,77","0,0","0,0","0,1","0,2","0,0","0,0","0,0","0,2","1,99","43,0","0,79","0,6","0,4","0,0","0,2","2,4","1,3","1,49","3,68","6,42","0,3","2,52","0,0","0,0","0,0","1,1","2,49",2025-01-31,"3,075441920482116","38,0","2 025,0"
Josue Casimir,Le Havre,FW,FRA I 2024,Jun 25,Left/Right,right,"23,0","3 500,0","178,0","22,0","13,0","870,0","3,0","0,0","15,0","0,72","0,41","61,5","1,55","0,83","16,0","0,2768079800498753","0,1515151515151516","26,1","19,0","8,28","7,14","0,21870286576168926","2,81","4,45","69,3","72,7","78,4","0,4892857142857143","60,4","2,28","18,5","6,31","0,0","0,12","92,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,62","0,21","0,0","6,21","0,79","7,03","43,6","44,8","8,91","6,0","5,28","0,4043126684636118","0,5859375","1,55","26,7","51,5","46,0","36,6","0,79","0,52","10,2","2,21","1,03","3,53","2,12","60,0","62,5","52,4","43,6","72,7","14,1","11,1","-70,26","0,1","0,0","2,86","11,1","0,1","0,1","0,41","0,24953095684802995","0,0","0,18","0,0989010989010989","0,1","9,0","0,03773584905660378","16,7","0,45000000000000007","0,02","31,9","0,79","0,14285714285714285","0,31279069767441864","0,6872586872586872","84,8","85,7","1,97","0,2845953002610966","0,6150000000000001","1,34","69,2","0,62","33,3","0,4278350515463918","0,93","0,21","0,7192307692307693","1,14","57,9","38,8","0,1495934959349593","21,0","0,1","4,66","2,28","3,1","6,59","2,38","0,93","0,72","1,14","0,5806451612903226","0,41","17,2","7,34","3,83","0,3390804597701149","5,59","0,21","0,0","41,7","0,0","0,1","0,47058823529411764","41,3","0,03","0,15","0,04","0,08","0,27","0,19","0,1","0,02","0,08","9,56","0,09","0,46","0,31","66,7","0,62","1,55","26,7","1,86","50,0","100,0","0,12487100103199175","0,1","0,231","0,1","0,62","33,3","0,21","0,41","0,21","0,21","2,79","2,59","0,31","8,0","8,0","0,0","16,2","19,5","4,14","47,5","0,31","5,79","16,3","0,0","1,76","0,31","0,1","0,0","0,21","0,1","0,21","3,1","52,0","1,18","0,41","1,14","2,62","2,56","4,96","3,0","2,69","6,42","12,32","1,35","7,1","7,0","7,0","0,1","0,2","3,52",2025-01-31,"3,0084158721470557","39,0","2 025,0"
Sekou Mara,Strasbourg,FW,FRA I 2024,Jun 29,Left/Right,right,"22,0","6 000,0","184,0","18,0","16,0","732,0","2,0","0,0","13,4","0,0","0,49","25,0","2,21","0,12","55,6","0,1770573566084788","0,2589531680440772","20,0","16,1","5,53","5,53","0,11613876319758673","-12,99","3,69","63,8","60,8","86,3","0,35357142857142865","36,0","1,48","16,0","4,92","0,0","0,12","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,25","0,0","0,0","2,95","0,0","4,18","55,2","24,2","17,7","4,06","7,01","0,12938005390835583","0,609375","1,97","12,5","70,6","42,3","35,0","0,48","0,12","5,88","1,33","0,37","1,58","0,97","61,5","50,0","60,0","27,6","66,7","14,9","8,33","-60,64","0,12","0,0","5,56","8,33","0,12","0,12","0,37","0,09380863039399623","25,0","0,3633333333333333","0,1318681318681319","0,49","12,0","0,18867924528301888","19,0","0,37500000000000006","0,03","30,6","1,31","0,23809523809523814","0,3662790697674419","0,277992277992278","79,4","77,2","2,95","0,3838120104438642","0,28625","2,71","50,0","0,25","50,0","0,3298969072164949","1,35","0,12","0,41153846153846163","1,48","50,0","27,0","0,08780487804878045","14,3","0,0","2,83","1,23","1,72","3,97","1,6","0,37","0,37","0,86","0,29838709677419356","0,61","89,0","8,61","2,83","0,08620689655172412","6,27","0,12","0,0","18,3","0,0","0,03","0,1764705882352941","6,8","0,0","0,42","0,09","0,27","0,52","0,39","0,07","0,02","0,07","7,64","0,05","0,32","0,49","0,0","2,36","4,43","44,4","4,92","33,3","0,0","0,4055727554179566","0,25","0,455","0,0","1,97","40,0","0,0","1,97","0,0","0,0","0,25","0,25","0,0","0,0","0,0","0,0","13,9","18,6","2,21","55,6","0,0","3,57","10,7","0,0","0,98","0,25","0,25","0,0","0,12","0,0","0,25","3,44","36,0","0,96","0,25","1,72","0,0","1,1","3,08","1,11","0,98","5,78","9,25","0,48","3,12","3,0","3,0","0,0","0,75","5,04",2025-01-31,"2,9080587121485184","40,0","2 029,0"
Felix Lemarechal,Strasbourg,FW,FRA I 2024,Jun 29,Centre/Right,right,"21,0","5 000,0","180,0","20,0","12,0","701,0","1,0","0,0","14,6","0,26","0,51","30,0","0,26","0,39","66,7","0,3931837073981712","0,0","22,6","21,4","9,12","5,01","0,3514328808446455","-24,55","5,14","78,4","78,9","82,4","0,6928571428571431","63,4","2,7","19,3","8,09","0,0","0,24","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,77","0,26","0,0","4,24","0,51","5,14","50,3","42,9","12,7","4,49","5,14","0,19676549865229132","0,3203125","1,67","38,5","65,0","49,2","38,8","0,64","0,39","12,0","1,67","1,03","2,57","1,8","70,0","40,0","75,0","42,4","85,7","12,5","33,3","101,3","0,13","0,0","0,0","0,0","0,0","0,13","0,13","0,24953095684802995","0,0","0,0","0,0","0,0","3,0","0,0","14,3","0,5125000000000001","0,09","6,62","0,47","0,47619047619047616","0,3383720930232558","0,9420849420849421","84,1","84,7","1,93","0,20365535248041772","0,53125","1,28","60,0","0,64","0,0","0,27835051546391754","0,77","0,0","0,03846153846153849","0,77","40,0","35,2","0,0","10,8","0,13","4,75","1,67","2,7","6,05","3,08","0,64","0,39","1,54","0,20967741935483875","0,77","48,7","7,45","1,41","0,02873563218390804","3,34","0,26","0,0","91,3","0,01","0,05","0,1764705882352941","5,5","0,02","0,57","0,19","0,3","0,61","0,34","0,1","0,03","0,1","9,71","0,08","0,33","0,26","50,0","0,11","1,54","8,33","1,8","0,0","50,0","0,07946336429308566","0,0","0,0","0,13","0,26","14,3","0,13","0,13","0,13","0,13","1,54","1,41","0,39","9,09","16,7","0,0","11,0","18,6","4,11","56,2","0,0","2,95","12,3","0,13","1,28","0,26","0,13","0,13","0,64","0,26","0,64","3,72","37,0","0,64","0,64","1,03","0,78","1,15","5,24","3,32","1,93","6,56","13,99","1,3","5,6","2,0","3,0","0,26","0,0","3,08",2025-01-31,"2,359003589642314","41,0","2 029,0"
Stefanos Tzimas,Nurnberg,FW,GER II 2024,Jun 28,Left,both,"19,0","10 000,0","186,0","12,0","16,0","1 149,0","3,0","1,0","11,9","0,31","0,63","33,3","0,94","0,16","36,8","0,12083500602167807","0,8057742782152231","23,8","8,05","5,8","7,83","0,09241706161137442","5,84","4,15","62,4","66,1","76,9","0,34294871794871806","61,1","1,49","19,9","4,86","0,0","0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,55","0,08","0,0","3,13","0,08","3,92","57,1","38,0","22,1","3,92","5,95","0,6083916083916083","0,7308662741799833","1,96","32,0","76,0","45,0","36,3","0,33","0,31","16,7","1,41","0,63","1,66","1,5","90,0","88,9","87,5","40,0","100,0","12,3","21,3","-1,97","0,78","0,0","19,4","27,7","1,02","0,78","0,86","0,988736926790024","66,7","0,6827133479212254","1,0","0,47","4,7","0,7246376811594202","10,0","0,5373134328358209","0,66","42,2","0,76","0,47619047619047616","0,4820239680426099","0,1640211640211641","81,3","80,6","5,56","0,6888454011741684","0,5201109570041609","4,78","54,1","0,78","90,0","0,5792880258899676","2,58","0,7","0,5902777777777777","3,29","59,1","30,4","1,0000000000000002","30,1","0,08","4,78","3,13","3,37","5,11","1,65","0,63","0,47","2,27","0,3451327433628319","0,55","52,0","6,58","3,76","0,5639810426540284","5,56","0,86","0,0","8,26","0,01","0,05","0,26666666666666666","7,81","0,01","0,39","0,1","0,32","0,78","0,75","0,15","0,07","0,15","8,76","0,08","0,67","0,39","20,0","0,43","1,72","27,3","2,12","42,9","0,0","0,1629778672032193","0,23","0,51138353765324","0,0","0,55","25,9","0,08","0,47","0,23","0,23","1,1","0,86","0,08","27,3","27,3","0,08","15,4","19,4","5,88","45,3","0,63","11,2","21,3","0,08","2,12","1,18","0,08","0,0","0,23","0,0","1,02","6,03","70,0","0,78","0,63","1,33","0,84","1,49","2,81","1,72","1,49","6,65","7,49","0,48","4,07","5,0","6,0","0,0","0,54","5,33",2025-01-31,"6,17770276665279","1,0","2 028,0"
Ragnar Ache,FC Kaiserslautern,FW,GER II 2024,Jun 26,Centre/Right,right,"26,0","5 000,0","183,0","10,0","15,0","930,0","1,0","0,0","13,5","0,0","0,0","50,0","4,36","0,19","33,3","0,11280610196708146","0,5091863517060367","30,0","4,65","5,03","9,0","0,04123222748815164","-27,71","3,0","57,4","58,4","67,7","0,08333333333333304","41,7","1,26","24,2","4,16","0,0","0,39","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,23","0,2","2,81","55,8","31,2","18,0","3,1","9,19","0,24125874125874125","1,0","1,26","15,4","79,3","40,4","34,1","1,0","0,19","12,5","1,2","0,58","0,6","0,2","33,3","0,0","50,0","10,5","50,0","12,3","18,9","8,46","0,97","0,1","25,4","32,1","1,65","0,97","0,58","0,6862429605792437","50,0","0,9999999999999999","0,9957446808510637","0,77","5,3","1,0","12,7","0,5223880597014925","0,83","62,0","0,81","0,4285714285714286","0,4673768308921438","0,4656084656084657","78,9","79,7","1,74","0,14285714285714288","0,24271844660194178","1,55","31,2","0,19","50,0","0,06472491909385113","0,48","0,1","0,548611111111111","0,58","33,3","25,9","0,6303317535545023","28,3","0,1","2,71","1,45","1,74","2,38","1,26","0,39","0,19","0,87","0,168141592920354","0,19","36,5","10,2","5,03","0,6398104265402842","8,42","1,06","0,1","5,06","0,0","0,03","0,06666666666666667","2,6","0,01","0,5","0,13","0,4","0,98","0,92","0,1","0,07","0,1","6,4","0,03","0,26","1,26","61,5","7,88","9,68","46,0","12,0","51,4","87,5","1,0","1,74","0,7670753064798599","0,68","5,61","46,8","0,77","4,45","0,0","0,0","0,68","0,68","0,0","0,0","0,0","0,1","9,6","16,7","3,29","38,2","0,19","6,87","15,7","0,1","1,06","0,68","0,29","0,1","0,19","0,1","1,26","6,97","72,0","0,62","0,19","1,07","0,0","0,57","3,48","1,45","0,97","5,23","5,21","0,38","3,28","2,0","2,0","0,78","3,39","4,65",2025-01-31,"6,027507095833684","2,0","2 026,0"
Davie Selke,Hamburg,FW,GER II 2024,Jun 25,Left/Centre/Right,right,"30,0","2 000,0","195,0","14,0","19,0","1 156,0","4,0","0,0","13,6","0,08","0,0","83,3","3,35","0,39","40,0","0,17703733440385389","0,16535433070866135","20,7","6,15","4,75","7,01","0,17488151658767775","-13,42","2,57","61,1","65,6","86,8","0,5448717948717947","68,6","1,71","17,8","4,91","0,0","0,56","0,0","0,0","100,0","100,0","1,0","0,0","0,0","0,0","0,0","0,08","0,0","0,08","1,79","0,0","3,81","51,6","27,8","14,6","4,2","6,0","0,39860139860139876","0,520605550883095","2,1","25,9","63,3","38,7","32,5","0,8","0,08","5,88","1,04","0,31","0,56","0,32","57,1","100,0","100,0","11,8","40,0","8,61","30,6","51,4","0,86","0,0","16,7","47,2","1,32","0,86","0,31","0,821399839098954","0,0","0,4901531728665207","0,6297872340425532","0,08","3,27","0,826086956521739","7,72","0,5373134328358209","0,79","43,0","0,77","0,8571428571428571","0,18641810918774965","0,24338624338624346","83,6","82,3","1,01","0,09001956947162426","0,5977808599167823","0,78","50,0","0,23","66,7","0,0970873786407767","0,39","0,16","0,42361111111111105","0,55","53,9","22,8","0,3759873617693524","17,5","0,0","3,04","1,25","1,32","2,35","1,79","0,08","0,0","0,55","0,0","0,31","25,4","9,19","2,88","0,41232227488151657","6,15","0,86","0,08","8,14","0,0","0,01","0,0","0,0","0,01","0,41","0,1","0,31","0,85","0,77","0,06","0,04","0,06","3,36","0,02","0,13","1,56","55,0","8,32","5,84","60,0","7,86","58,1","62,5","0,5221327967806842","1,4","1,0","0,78","4,67","59,4","0,86","3,5","0,16","0,16","0,7","0,55","0,0","28,6","28,6","0,0","11,5","18,4","2,41","67,7","0,0","5,68","10,4","0,0","0,78","0,16","0,16","0,0","0,08","0,0","0,93","4,2","65,0","0,73","0,54","1,56","0,56","0,78","2,73","1,87","1,17","4,21","9,61","0,47","3,55","0,0","0,0","1,25","2,41","2,96",2025-01-31,"5,755700954917969","3,0","2 025,0"
Tim Lemperle,FC Cologne,FW,GER II 2024,Jun 25,Centre/Right,right,"22,0","5 000,0","187,0","10,0","16,0","1 150,0","2,0","0,0","13,3","0,78","0,94","35,3","2,43","0,47","40,6","0,5584102769971897","0,9475065616797902","24,1","11,2","14,3","13,8","0,5355450236966823","22,5","10,2","72,6","75,9","83,7","0,608974358974359","58,6","2,82","20,0","9,78","0,0","0,1","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,55","0,08","0,0","3,05","0,17","4,3","60,1","34,6","18,0","4,07","5,79","0,36363636363636376","0,45332211942809086","1,33","11,8","72,7","39,3","36,3","0,96","0,63","22,9","1,82","0,94","2,08","1,3","62,5","28,6","71,4","36,6","80,0","13,6","18,2","26,4","0,63","0,0","13,0","22,7","0,78","0,63","0,55","0,6942880128720835","50,0","0,6301969365426695","0,6638297872340425","0,63","5,5","0,5507246376811592","10,5","0,4925373134328358","0,57","27,8","0,75","0,38095238095238104","0,5126498002663116","0,1640211640211641","84,4","83,9","2,11","0,25831702544031315","0,5201109570041609","1,88","50,0","0,23","66,7","0,22330097087378642","0,94","0,16","0,1284722222222222","1,1","51,9","37,4","0,7140600315955767","18,9","0,23","6,03","2,66","4,77","5,54","3,37","1,64","1,17","1,88","0,831858407079646","1,02","37,3","11,1","8,14","0,85781990521327","10,0","0,86","0,08","10,9","0,01","0,14","0,7333333333333334","13,8","0,04","0,63","0,43","0,51","1,12","1,02","0,25","0,05","0,25","10,3","0,2","0,88","0,86","27,3","1,57","3,37","37,2","4,23","54,5","50,0","0,3279678068410463","0,47","0,5831873905429071","0,16","1,49","35,2","0,23","1,25","0,31","0,31","1,88","1,56","0,23","20,0","20,0","0,08","12,0","16,1","5,09","58,5","0,31","10,6","26,2","0,08","2,19","0,39","0,08","0,0","0,23","0,08","1,25","7,51","66,0","0,88","0,16","1,17","1,55","2,51","5,47","3,21","1,41","14,05","14,1","1,33","5,87","12,0","15,0","0,32","0,86","5,56",2025-01-31,"5,55705069627189","4,0","2 025,0"
p75dc_GER II 2024,,Delantero,GER II 2024,,,,"28,5","2 625,0","187,25","11,0","19,0","1 373,0","3,0","0,0","15,32","0,44","0,6","55,15","2,48","0,87","50,0","0,3938177438779607","0,6698162729658792","28,2","17,5","10,18","9,82","0,36729857819905204","7,04","6,48","73,4","75,35","85,4","0,6384615384615384","65,05","2,83","24,05","6,51","0,0","0,3","100,0","100,0","100,0","100,0","1,0","0,0","0,0","0,0","0,0","0,48","0,08","0,08","3,03","0,32","3,96","58,42","42,1","19,55","4,08","6,7","0,6374125874125878","0,71825063078217","1,5","33,3","75,62","40,7","36,22","0,69","0,25","15,4","1,41","0,7","1,68","1,25","81,53","100,0","85,7","41,52","86,15","16,23","22,0","41,72","0,56","0,06","12,52","26,85","0,7","0,55","0,61","0,7380530973451326","50,0","0,46608315098468267","0,4808510638297872","0,6","10,0","0,4927536231884057","12,7","0,5223880597014925","0,44","35,5","1,03","0,4285714285714286","0,3022636484687084","0,20634920634920642","84,6","83,95","3,63","0,4579256360078279","0,6119278779472954","3,1","59,12","0,37","68,78","0,47896440129449835","1,72","0,29","0,5520833333333334","2,13","58,05","34,0","0,5150078988941549","22,08","0,17","5,42","2,66","3,68","6,37","3,27","1,06","0,82","1,72","0,6194690265486725","0,81","30,65","10,32","5,04","0,39810426540284355","8,46","0,73","0,09","19,85","0,02","0,12","0,6","20,68","0,03","0,44","0,19","0,32","0,73","0,64","0,18","0,04","0,17","11,02","0,14","0,76","1,06","55,98","3,05","5,4","38,8","6,3","50,0","64,38","0,49899396378269617","0,52","0,6912434325744308","0,25","2,5","41,48","0,5","2,16","0,54","0,44","2,37","1,79","0,34","29,25","29,25","0,07","14,32","19,4","5,02","58,2","0,34","8,5","21,15","0,12","1,94","0,61","0,29","0,0","0,28","0,06","0,97","5,51","60,5","0,77","0,46","1,17","1,69","1,78","5,56","3,12","1,5","8,99","12,97","1,73","8,95","9,25","10,25","0,52","1,62","5,39",2025-01-31,"5,5215864686296685","5,0",nan
